id,name,desc,price,quantity
cbfb2c3a-7756-479d-bc60-3d116381d409,Wireless Keyboard Pro,A compact wireless keyboard with long battery life,399.99,31
2553af7d-0cda-4bfe-b0fc-3ffdb920063f,Noise-Cancelling Headphones Max,High-quality headphones with active noise cancellation.,199.99,75
630a2acc-7bed-400f-a510-fd51763a9d17,4K Ultra HD Monitor,A stunning 27-inch 4K monitor with vibrant colors.,399.99,50
e1d0a05f-7317-4404-b27d-ca6955cfadde,Bluetooth Speaker,Portable Bluetooth speaker with deep bass and crystal clear sound.,59.99,200
baada367-29a6-4429-9e41-9e76d313ed10,Gaming Mouse Xtreme,Ergonomic gaming mouse with customizable buttons and RGB lighting.,49.99,120
4ac54496-4212-4ddc-964c-41aab86aa7e0,Smartwatch Fit,Fitness-focused smartwatch with heart rate monitor and GPS.,149.99,80
a7c91805-ca31-4c01-9a3c-6c265d609438,Portable SSD 1TB,High-speed portable SSD with 1TB storage capacity.,129.99,90
9e8bb8d0-273c-4f9e-9bb6-54054424240e,USB-C Hub,"7-in-1 USB-C hub with HDMI, USB 3.0, and SD card reader.",34.99,140
3b1f627c-f965-4eb5-9a94-e63bd36ea765,Mechanical Keyboard,RGB mechanical keyboard with tactile switches.,89.99,110
2366f457-e0bd-4b41-9e19-2d694c84f3f6,1080p Webcam,Full HD webcam with built-in microphone for video conferencing.,39.99,95
